2022-11-28 11:14:11,826 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x000001EBD39EA7F0>，sheet页面<xlrd.sheet.Sheet object at 0x000001EBD3A1FBB0>打开成功
2022-11-28 11:14:11,833 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x000001EBD3950EE0>，sheet页面<xlrd.sheet.Sheet object at 0x000001EBD3A1FDC0>打开成功
2022-11-28 11:14:11,833 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：//span//input[@placeholder='请输入手机号码']
2022-11-28 11:14:11,833 - doExcel.py:[41] - [INFO] - 单元格值(2,4)文件获取成功，值是：//span//input[@type='password']
2022-11-28 11:14:11,833 - doExcel.py:[41] - [INFO] - 单元格值(3,4)文件获取成功，值是：//form/nz-form-item[4]/button
2022-11-28 11:14:11,833 - doExcel.py:[41] - [INFO] - 单元格值(4,4)文件获取成功，值是：//form/nz-form-item[1]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:14:11,834 - doExcel.py:[41] - [INFO] - 单元格值(5,4)文件获取成功，值是：//form/nz-form-item[2]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:14:11,834 - doExcel.py:[41] - [INFO] - 单元格值(6,4)文件获取成功，值是：.ant-modal-confirm-title>span
2022-11-28 11:14:11,834 - doExcel.py:[41] - [INFO] - 单元格值(7,4)文件获取成功，值是：.ant-modal-confirm-btns>button
2022-11-28 11:14:11,834 - doExcel.py:[41] - [INFO] - 单元格值(1,2)文件获取成功，值是：15555211512.0
2022-11-28 11:14:11,834 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：1，2|1，3
2022-11-28 11:14:11,834 - doExcel.py:[41] - [INFO] - 单元格值(2,2)文件获取成功，值是：
2022-11-28 11:14:11,834 - doExcel.py:[41] - [INFO] - 单元格值(2,3)文件获取成功，值是：
2022-11-28 11:14:11,834 - doExcel.py:[41] - [INFO] - 单元格值(3,2)文件获取成功，值是：
2022-11-28 11:14:11,834 - doExcel.py:[41] - [INFO] - 单元格值(3,3)文件获取成功，值是：2000zhang
2022-11-28 11:14:11,834 - doExcel.py:[41] - [INFO] - 单元格值(4,2)文件获取成功，值是：15555211512.0
2022-11-28 11:14:11,835 - doExcel.py:[41] - [INFO] - 单元格值(4,3)文件获取成功，值是：
2022-11-28 11:14:11,835 - doExcel.py:[41] - [INFO] - 单元格值(5,2)文件获取成功，值是：11555521153.0
2022-11-28 11:14:11,836 - doExcel.py:[41] - [INFO] - 单元格值(5,3)文件获取成功，值是：2000zhang
2022-11-28 11:14:11,836 - doExcel.py:[41] - [INFO] - 单元格值(6,2)文件获取成功，值是：15555211512.0
2022-11-28 11:14:11,836 - doExcel.py:[41] - [INFO] - 单元格值(6,3)文件获取成功，值是：2000zha
2022-11-28 11:14:11,836 - doExcel.py:[41] - [INFO] - 单元格值(7,2)文件获取成功，值是：11555521153.0
